x,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
600352.XSHG,0.973913043,0.987723214,1.025988701,0.994493392,1.03986711,0.998935037,0.993603412,1.08583691,1.051383399,1.027255639,0.94967978,0.992292871,1.086407767,0.943699732,0.982954545,0.971098266,0.998015873,0.998011928,1.003984064,0.984126984,1.047379032,1.003849856,1.031639501,1.046468401,1.03374778
600362.XSHG,1.023627519,0.983027834,1.052486188,1.015748031,1.0374677,1.030510585,1.029003021,1.077510276,1.115531335,0.95456766,0.89457523,1.014874142,1.104284104,0.992853497,0.940359897,0.992892291,0.996696035,0.997790055,0.958471761,0.997689197,0.964678633,1.007803121,1.085169744,0.930296378,1.028908555
600369.XSHG,0.970260223,1.007662835,1.019011407,1.018656716,1.005494505,0.990892532,1.058823529,0.987847222,1.033391916,1.005102041,0.974619289,0.980902778,1.086725664,0.96742671,0.986531987,0.9778157,1.006980803,0.967071057,0.971326165,1,0.983394834,0.945590994,1.009920635,0.964636542,0.959266802
600372.XSHG,0.982213439,0.966465459,1.047883414,1.078807947,1.044812769,0.995887192,0.960471976,0.963759214,1.005098789,1.083703234,1.006436513,0.952325581,1.00976801,1.017533253,0.977421272,0.984802432,1.041975309,0.949052133,0.945692884,1.018481848,0.969539857,0.954545455,0.993697479,1.000704722,1.014788732
600373.XSHG,1.011311054,0.972038638,1.063284519,1.08165273,1.05684402,0.964716007,0.939339875,1.01377018,1.046838407,1.07114094,1.055137845,0.90023753,1.030782762,0.956484642,0.982604817,0.993191103,1.023308958,0.916033944,0.936128718,0.992708333,1.001573977,0.963331587,0.964654704,0.991544532,0.993177942
600376.XSHG,1.008016032,1.057654076,1.00093985,0.972769953,1.025096525,1.003766478,0.993433396,1.004721435,0.985902256,0.994280267,0.981783317,1.010742188,1.007729469,0.992329818,1.023188406,1.003777148,0.966133584,0.989289192,1.001968504,0.979371316,0.964894684,0.977130977,1.014893617,0.979035639,0.95503212
600383.XSHG,1.016309888,1.073219659,0.979439252,0.959923664,1.104373757,0.99279928,1.082502267,1.003350084,0.951585977,0.977192982,0.94524237,1.026590693,1.019426457,1.051724138,1.05608283,0.901143791,0.991840435,1,1.018281536,0.972172352,0.984302862,1.066604128,1.029903254,0.974380871,0.957931639
600406.XSHG,1,1,1.072636193,0.975481611,1.014961101,1.045400943,0.943598421,1.022713688,0.993571011,0.952352941,1.013588635,1.001218769,0.998174072,0.984756098,0.980185759,1.014529375,1.01120797,1.028325123,0.989221557,1.042372881,1.108594657,1.007333683,0.969318773,1.010193133,0.958576739
600415.XSHG,1.037552156,1.008042895,0.958776596,1,0.99445215,0.9958159,0.991596639,0.997175141,1.019830028,0.977777778,0.990056818,0.991391679,1.020260492,0.988652482,1.007173601,0.985754986,1.00433526,0.965467626,1.022354694,1.010204082,0.943722944,0.941896024,0.975649351,1.018302829,0.980392157
600446.XSHG,0.948661933,0.934945308,1.056034483,1.029737609,0.982446206,1.018443804,0.960384833,0.888037714,1.02986065,1.024484536,1.134591195,0.993348115,1.0390625,1.071965628,1.007014028,0.980099502,1.02284264,0.913647643,0.915806627,1.001779359,0.985198342,0.955528846,0.976100629,1.027706186,1.018181818
600482.XSHG,1.020763812,0.879041046,1.08677686,1.000760456,0.969224924,0.959231674,1.031467103,0.975832013,0.978887536,1.019493986,1.052481692,0.990336297,0.995706479,1.003528028,0.97734375,0.994404476,1.018890675,0.974753452,1.06717928,0.990140311,1.052470318,0.951601164,0.967112811,1.021747726,0.991873065
600487.XSHG,1.003052503,1.035909921,1.048766157,0.995518207,1.095104108,1.027749229,0.988,0.956477733,1.022751323,0.988618727,1.050235479,0.99103139,1.013574661,1.024305556,1.073123487,1.120036101,0.984689766,0.974631751,1.060033585,1.096237624,1.070447977,0.990212622,1,0.993524199,1.003430532
600489.XSHG,0.994029851,0.963963964,1.033229491,1.00201005,0.998996991,1.002008032,1.048096192,1.040152964,1.000919118,1.04040404,0.953221536,0.99537037,1.051162791,0.997345133,0.972493345,0.97080292,1.003759398,0.958801498,0.973632813,0.98996991,1.015197568,0.976047904,0.987730061,0.991718427,1.016701461
600498.XSHG,1.002325581,0.987470998,1.073308271,1.035901926,1.049450549,0.995972614,0.968863728,0.980801336,1.03106383,1.032191498,1.034386246,1.018940858,1.007207891,1.038418079,1.010155967,1.113105925,1.032903226,0.96689569,1.02874677,1.06310832,1.02215003,0.92689974,0.961658354,1.017828201,0.967834395
600518.XSHG,1.02858551,1.014374701,1.006613132,1.009385265,0.9995351,1.006046512,0.948682386,0.999512671,1.000975134,0.993667803,1.020588235,0.991834774,0.989346247,0.993636809,0.980788177,1.002009041,1.01754386,1.032512315,1.021469466,1.047174218,1.009812667,0.957597173,0.972324723,1.038425047,0.975331201
600519.XSHG,1.068474391,1.016988651,1.036617782,1.009527388,1.029626223,0.950491259,1.00635432,1.037351594,1.016953148,1.002824085,1.028812811,0.992584876,1.004815707,0.965960061,1.038950024,1.022653061,1.07060467,1.055565911,1.083155274,1.032133425,1.071648581,0.921011128,0.982043978,1.046020468,1.024739827
600535.XSHG,1.0172724,0.985496993,1.006819813,0.998217469,1.040714286,0.993822924,0.951657459,0.971335269,0.992155398,1.009412651,1.01230884,0.987472366,1.006716418,0.972572276,0.958460366,0.992445328,1.026842949,0.992586812,1.057389937,1.001486989,1.002227171,1.004444444,0.959439528,1.025365104,0.953148426
